US1ORLA0076,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
IDM00096179,20161203,TMIN,230.0,,,S,,,,,,,,,,,,,,
USC00129222,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00501987,20161203,SNWD,203.0,,,7,800.0,,,,,,,,,,,,,
MXM00076675,20161203,PRCP,0.0,,,S,,,,,,,,,,,,,,
USW00013877,20161203,PRCP,0.0,,,W,2400.0,,,,,,,,,,,,,
NLE00109156,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
US1VANNC004,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00138339,20161203,TOBS,-17.0,,,7,700.0,,,,,,,,,,,,,
ASN00046090,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00306314,20161203,TMIN,22.0,,,7,1700.0,,,,,,,,,,,,,
NOE00133666,20161203,TMAX,46.0,,,E,,,,,,,,,,,,,,
FJM00091683,20161203,TAVG,267.0,H,,S,,,,,,,,,,,,,,
USS0008G10S,20161203,SNWD,203.0,,,T,,,,,,,,,,,,,,
USC00304102,20161203,SNOW,13.0,,,7,,,,,,,,,,,,,,
US1TNFN0005,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00203744,20161203,TOBS,-39.0,,,7,800.0,,,,,,,,,,,,,
CA004016699,20161203,PRCP,4.0,,,C,,,,,,,,,,,,,,
USS0011H59S,20161203,TMAX,-67.0,,,T,,,,,,,,,,,,,,
US1MOJC0032,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1NHMR0006,20161203,WESF,5.0,,,N,,,,,,,,,,,,,,
US1NMCL0001,20161203,PRCP,28.0,,,N,,,,,,,,,,,,,,
USW00053859,20161203,WSF5,54.0,,,W,,,,,,,,,,,,,,
USC00278973,20161203,PRCP,8.0,,,7,830.0,,,,,,,,,,,,,
USC00445300,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1NYOG0006,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
USC00230143,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00124837,20161203,TMIN,-6.0,,,7,2400.0,,,,,,,,,,,,,
USS0011L05S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
ASN00034007,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0015F14S,20161203,TAVG,-25.0,,,T,,,,,,,,,,,,,,
USR0000CBBR,20161203,TMIN,6.0,H,,U,,,,,,,,,,,,,,
USW00023258,20161203,SNOW,0.0,,,W,,,,,,,,,,,,,,
USC00416137,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00113320,20161203,SNWD,0.0,,,7,700.0,,,,,,,,,,,,,
TI000038719,20161203,TMAX,4.0,,,S,,,,,,,,,,,,,,
AYM00089611,20161203,TAVG,-24.0,H,,S,,,,,,,,,,,,,,
USC00343628,20161203,SX52,100.0,,,7,800.0,,,,,,,,,,,,,
USC00415650,20161203,PRCP,305.0,,,7,800.0,,,,,,,,,,,,,
USC00361480,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00385278,20161203,PRCP,0.0,,,7,730.0,,,,,,,,,,,,,
USC00085895,20161203,PRCP,0.0,,,7,600.0,,,,,,,,,,,,,
US1WAKP0008,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
ASN00055276,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1ORLA0065,20161203,WESF,0.0,,,N,,,,,,,,,,,,,,
USS0008M04S,20161203,TMIN,-107.0,,,T,,,,,,,,,,,,,,
US1COLR0316,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
JA000047666,20161203,TMIN,111.0,,,S,,,,,,,,,,,,,,
USW00073805,20161203,PRCP,0.0,,,W,,,,,,,,,,,,,,
USS0016H07S,20161203,TMIN,-83.0,,,T,,,,,,,,,,,,,,
USW00092809,20161203,WDF5,70.0,,,W,,,,,,,,,,,,,,
USC00274556,20161203,TOBS,6.0,,,7,600.0,,,,,,,,,,,,,
MXM00076160,20161203,TAVG,141.0,H,,S,,,,,,,,,,,,,,
RSM00030554,20161203,TAVG,-183.0,H,,S,,,,,,,,,,,,,,
USC00413225,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1TNWY0007,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USS0010C22S,20161203,TOBS,-59.0,,,T,,,,,,,,,,,,,,
USC00120200,20161203,SNWD,0.0,,,7,700.0,,,,,,,,,,,,,
USC00349724,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00456898,20161203,TMIN,-50.0,,,7,800.0,,,,,,,,,,,,,
NLE00101953,20161203,SNWD,0.0,,,E,,,,,,,,,,,,,,
US1NYER0122,20161203,PRCP,3.0,,,N,,,,,,,,,,,,,,
USC00046699,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
USC00316853,20161203,PRCP,0.0,,,7,1700.0,,,,,,,,,,,,,
ASN00017089,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1PAYR0025,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USR0000WDOD,20161203,TMAX,-61.0,H,,U,,,,,,,,,,,,,,
US1OHHC0002,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
RQ1PRAC0001,20161203,PRCP,5.0,,,N,,,,,,,,,,,,,,
CA005062835,20161203,WDFG,0.0,,,C,,,,,,,,,,,,,,
MXM00076737,20161203,TMIN,124.0,,,S,,,,,,,,,,,,,,
US1CAMA0004,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00026471,20161203,PRCP,0.0,,,7,1800.0,,,,,,,,,,,,,
USW00093167,20161203,WSF2,76.0,,,W,,,,,,,,,,,,,,
US1ILCP0104,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1MNRM0015,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
USW00012871,20161203,TMAX,272.0,,,W,,,,,,,,,,,,,,
USS0010S01S,20161203,WESD,254.0,,,T,,,,,,,,,,,,,,
NLE00109172,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
USC00348390,20161203,TMAX,72.0,,,7,2400.0,,,,,,,,,,,,,
ASN00003033,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
IN005030100,20161203,TAVG,267.0,H,,S,,,,,,,,,,,,,,
USW00013728,20161203,WDF5,80.0,,,W,,,,,,,,,,,,,,
USC00262229,20161203,TMAX,72.0,,,7,1800.0,,,,,,,,,,,,,
USW00003847,20161203,PRCP,33.0,,,W,2400.0,,,,,,,,,,,,,
US1OHLK0009,20161203,SNOW,0.0,T,,N,,,,,,,,,,,,,,
ASN00014836,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00336405,20161203,TMIN,-28.0,,,7,2400.0,,,,,,,,,,,,,
USC00099141,20161203,TMAX,161.0,,,7,700.0,,,,,,,,,,,,,
ASN00085096,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1NCWR0007,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00488884,20161203,SNWD,0.0,,,7,700.0,,,,,,,,,,,,,
USC00031730,20161203,TMAX,178.0,,,H,800.0,,,,,,,,,,,,,
USR0000LOST,20161203,TMIN,-106.0,H,,U,,,,,,,,,,,,,,
CA002402351,20161203,SNWD,230.0,,,C,,,,,,,,,,,,,,
USS0013B07S,20161203,TMAX,-9.0,,,T,,,,,,,,,,,,,,
USC00024829,20161203,TOBS,144.0,,,7,1900.0,,,,,,,,,,,,,
USR0000OUMA,20161203,TMIN,78.0,H,,U,,,,,,,,,,,,,,
USR0000ASTR,20161203,TMIN,-244.0,H,,U,,,,,,,,,,,,,,
CA002402353,20161203,TMAX,-76.0,,,C,,,,,,,,,,,,,,
RSM00021432,20161203,SNWD,130.0,,,S,,,,,,,,,,,,,,
US1OKCN0019,20161203,WESF,0.0,,,N,,,,,,,,,,,,,,
USC00300321,20161203,WESD,0.0,,,7,,,,,,,,,,,,,,
USS0009G06S,20161203,TMAX,-1.0,,,T,,,,,,,,,,,,,,
USC00031935,20161203,PRCP,0.0,T,,7,830.0,,,,,,,,,,,,,
USC00044890,20161203,TMAX,139.0,,,7,800.0,,,,,,,,,,,,,
USC00310724,20161203,TMAX,111.0,,,7,700.0,,,,,,,,,,,,,
USC00422996,20161203,SNWD,0.0,,,7,800.0,,,,,,,,,,,,,
USC00210355,20161203,TOBS,-22.0,,,7,700.0,,,,,,,,,,,,,
US1MTBV0002,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00402934,20161203,TMIN,-33.0,,,7,700.0,,,,,,,,,,,,,
USR0000CWOF,20161203,TAVG,58.0,,,U,,,,,,,,,,,,,,
USC00386831,20161203,TOBS,17.0,,,7,700.0,,,,,,,,,,,,,
USW00023136,20161203,WDF5,50.0,,,W,,,,,,,,,,,,,,
USC00234136,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
CA1MB000231,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
ITM00016179,20161203,TMAX,92.0,,,S,,,,,,,,,,,,,,
US1TNSM0011,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00123527,20161203,TMIN,17.0,,,7,800.0,,,,,,,,,,,,,
USC00415721,20161203,EVAP,10.0,,,7,800.0,,,,,,,,,,,,,
US1MOHN0009,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
RSM00029813,20161203,PRCP,0.0,B,,S,,,,,,,,,,,,,,
TH000048501,20161203,TMAX,305.0,,,S,,,,,,,,,,,,,,
USC00051268,20161203,TMAX,83.0,,,7,700.0,,,,,,,,,,,,,
FIE00144322,20161203,TMAX,-25.0,,,E,,,,,,,,,,,,,,
USC00114530,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
CA006017401,20161203,WDFG,0.0,,,C,,,,,,,,,,,,,,
TUM00017096,20161203,SNWD,89.0,,,S,,,,,,,,,,,,,,
ASN00040825,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US10vall015,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USS0008M12S,20161203,PRCP,25.0,,,T,,,,,,,,,,,,,,
USC00391520,20161203,SNWD,25.0,,,7,800.0,,,,,,,,,,,,,
ASN00032096,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
ASN00059068,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00301309,20161203,TMAX,100.0,,,7,800.0,,,,,,,,,,,,,
USC00207222,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
USC00117126,20161203,TMAX,56.0,,,7,700.0,,,,,,,,,,,,,
ASN00041012,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1NYWN0018,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
KZ000029802,20161203,SNWD,71.0,,,S,,,,,,,,,,,,,,
USC00274304,20161203,SNOW,0.0,T,,7,,,,,,,,,,,,,,
USC00049621,20161203,EVAP,5.0,,,7,800.0,,,,,,,,,,,,,
WA010101860,20161203,TAVG,249.0,H,,S,,,,,,,,,,,,,,
SPE00119819,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
USC00085895,20161203,TOBS,200.0,,,7,600.0,,,,,,,,,,,,,
FIE00146467,20161203,TMIN,-119.0,,,E,,,,,,,,,,,,,,
US10shem003,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00453826,20161203,PRCP,292.0,,,7,800.0,,,,,,,,,,,,,
USC00389625,20161203,TMIN,6.0,,,7,630.0,,,,,,,,,,,,,
USS0011H03S,20161203,TMAX,-14.0,,,T,,,,,,,,,,,,,,
USR0000CPAR,20161203,TMIN,-17.0,H,,U,,,,,,,,,,,,,,
USS0009S02S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
CA1NB000013,20161203,SNOW,8.0,,,N,,,,,,,,,,,,,,
USC00084095,20161203,TMAX,289.0,,,7,700.0,,,,,,,,,,,,,
AYM00089574,20161203,TMIN,-27.0,,,S,,,,,,,,,,,,,,
ASN00082052,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00152812,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1TXGV0054,20161203,PRCP,940.0,,,N,,,,,,,,,,,,,,
USC00296804,20161203,TMIN,-11.0,,,7,1700.0,,,,,,,,,,,,,
US1IAHM0001,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1TXCRK003,20161203,PRCP,18.0,,,N,,,,,,,,,,,,,,
USW00073805,20161203,TMAX,211.0,,,W,,,,,,,,,,,,,,
USC00474894,20161203,PRCP,0.0,T,,7,1700.0,,,,,,,,,,,,,
CA00615EMR7,20161203,PRCP,0.0,,,C,,,,,,,,,,,,,,
ASN00002043,20161203,PRCP,386.0,,,a,,,,,,,,,,,,,,
CA002401200,20161203,TAVG,-236.0,H,,S,,,,,,,,,,,,,,
US1NHRC0049,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
ASN00063043,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0014K05S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
ASN00069134,20161203,MDTN,130.0,,,a,,,,,,,,,,,,,,
USW00023277,20161203,WDF2,300.0,,,W,,,,,,,,,,,,,,
USC00210355,20161203,TMAX,-11.0,,,7,700.0,,,,,,,,,,,,,
US1MEYK0028,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00233838,20161203,TMIN,-33.0,,,7,800.0,,,,,,,,,,,,,
UK000003808,20161203,TAVG,76.0,H,,S,,,,,,,,,,,,,,
USC00405431,20161203,TMAX,133.0,,,7,800.0,,,,,,,,,,,,,
NOE00109876,20161203,SNWD,0.0,,,E,,,,,,,,,,,,,,
CA1ON000053,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1ORJC0048,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
CHM00052836,20161203,TMIN,-127.0,,,S,,,,,,,,,,,,,,
USR0000MBAU,20161203,TAVG,-41.0,,,U,,,,,,,,,,,,,,
US1NHMR0041,20161203,SNOW,3.0,,,N,,,,,,,,,,,,,,
CA00501KE01,20161203,PRCP,20.0,,,C,,,,,,,,,,,,,,
USW00093782,20161203,WDF2,40.0,,,W,,,,,,,,,,,,,,
USS0022F04S,20161203,TOBS,7.0,,,T,,,,,,,,,,,,,,
USC00232318,20161203,TMAX,78.0,,,7,800.0,,,,,,,,,,,,,
USW00093819,20161203,WSF5,94.0,,,W,,,,,,,,,,,,,,
US1ILKN0078,20161203,SNOW,0.0,T,,N,,,,,,,,,,,,,,
CA004061570,20161203,PRCP,10.0,,,C,,,,,,,,,,,,,,
US1WVBY0002,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00054242,20161203,TOBS,-72.0,,,7,700.0,,,,,,,,,,,,,
US1VARH0004,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00297585,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
USS0006K01S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
US1NJWR0022,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1CASN0031,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00043714,20161203,TMAX,183.0,,,7,1600.0,,,,,,,,,,,,,
USC00025418,20161203,PRCP,0.0,,,7,1800.0,,,,,,,,,,,,,
US1TNHL0023,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
RSM00030612,20161203,TMAX,-138.0,,,S,,,,,,,,,,,,,,
CA002202578,20161203,PRCP,13.0,,,C,,,,,,,,,,,,,,
USC00293060,20161203,TMIN,-33.0,,,7,800.0,,,,,,,,,,,,,
US1COLP0035,20161203,SNWD,71.0,,,N,,,,,,,,,,,,,,
CA002302337,20161203,WDFG,0.0,,,C,,,,,,,,,,,,,,
USC00456768,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
USW00024215,20161203,AWND,13.0,,,W,,,,,,,,,,,,,,
USR0000IPOW,20161203,TMIN,-22.0,H,,U,,,,,,,,,,,,,,
USW00023188,20161203,PRCP,0.0,,,W,2400.0,,,,,,,,,,,,,
ASN00009509,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1WYAB0042,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1TXBLC023,20161203,PRCP,432.0,,,N,,,,,,,,,,,,,,
USC00238444,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
ASN00034044,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00164696,20161203,TMAX,172.0,,,7,800.0,,,,,,,,,,,,,
USW00003856,20161203,WDF5,60.0,,,W,,,,,,,,,,,,,,
USR0000CLAS,20161203,TMAX,161.0,H,,U,,,,,,,,,,,,,,
RSM00028696,20161203,TAVG,-222.0,H,,S,,,,,,,,,,,,,,
MP000061974,20161203,TAVG,288.0,H,,S,,,,,,,,,,,,,,
ASN00044041,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1INDR0003,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1KSRL0036,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USS0021E07S,20161203,TMAX,18.0,,,T,,,,,,,,,,,,,,
USC00461677,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
SA000403940,20161203,TMAX,184.0,,,S,,,,,,,,,,,,,,
USC00457342,20161203,TMAX,44.0,,,7,800.0,,,,,,,,,,,,,
US1KSDG0044,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00463798,20161203,TMIN,-6.0,,,7,700.0,,,,,,,,,,,,,
US1SCRC0042,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1WYLN0019,20161203,SNOW,13.0,,,N,,,,,,,,,,,,,,
USC00042214,20161203,TOBS,189.0,,,7,1600.0,,,,,,,,,,,,,
USR0000CHLD,20161203,TMIN,78.0,H,,U,,,,,,,,,,,,,,
USW00094949,20161203,TMAX,6.0,,,W,2400.0,,,,,,,,,,,,,
RSM00029789,20161203,TAVG,-236.0,H,,S,,,,,,,,,,,,,,
USC00139067,20161203,TMAX,33.0,,,7,700.0,,,,,,,,,,,,,
USC00371874,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
USS0011K32S,20161203,TMIN,-180.0,,,T,,,,,,,,,,,,,,
EUM00061972,20161203,TMIN,230.0,,,S,,,,,,,,,,,,,,
USW00053121,20161203,AWND,27.0,,,W,,,,,,,,,,,,,,
USC00418201,20161203,TMAX,67.0,,,7,700.0,,,,,,,,,,,,,
AGM00060602,20161203,TAVG,191.0,H,,S,,,,,,,,,,,,,,
USC00057249,20161203,TMIN,-111.0,,,7,900.0,,,,,,,,,,,,,
CA006115811,20161203,PRCP,0.0,,,C,,,,,,,,,,,,,,
CA005040FJ3,20161203,SNOW,4.0,,,C,,,,,,,,,,,,,,
SGM00061699,20161203,TAVG,302.0,H,,S,,,,,,,,,,,,,,
US1CTFR0023,20161203,WESD,0.0,,,N,,,,,,,,,,,,,,
US1INRS0005,20161203,PRCP,8.0,,,N,,,,,,,,,,,,,,
US1KSRS0003,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
SPE00119729,20161203,TMIN,76.0,,,E,,,,,,,,,,,,,,
US1ORYM0007,20161203,PRCP,43.0,,,N,,,,,,,,,,,,,,
UKM00003862,20161203,TAVG,57.0,H,,S,,,,,,,,,,,,,,
USC00202423,20161203,TMAX,56.0,,,7,830.0,,,,,,,,,,,,,
USC00283029,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
NOE00110824,20161203,PRCP,11.0,,,E,,,,,,,,,,,,,,
US1FLSS0010,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
ASN00082158,20161203,PRCP,2.0,,,a,,,,,,,,,,,,,,
USS0012C11S,20161203,TMIN,-77.0,,,T,,,,,,,,,,,,,,
USC00264935,20161203,TMIN,-50.0,,,7,1600.0,,,,,,,,,,,,,
CA001141455,20161203,SNOW,0.0,,,C,,,,,,,,,,,,,,
US1TXJS0002,20161203,PRCP,406.0,,,N,,,,,,,,,,,,,,
USS0011J12S,20161203,TMAX,-33.0,,,T,,,,,,,,,,,,,,
CA008400601,20161203,WSFG,720.0,,,C,,,,,,,,,,,,,,
BRM00082361,20161203,TMAX,347.0,,,S,,,,,,,,,,,,,,
USC00154955,20161203,TMIN,-6.0,,,7,,,,,,,,,,,,,,
ASN00040754,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00174086,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
NOE00105503,20161203,TAVG,-82.0,H,,S,,,,,,,,,,,,,,
USC00309089,20161203,SNWD,0.0,,,7,700.0,,,,,,,,,,,,,
ASN00091245,20161203,TAVG,131.0,H,,S,,,,,,,,,,,,,,
LOM00011826,20161203,PRCP,18.0,,,S,,,,,,,,,,,,,,
USR0000CCAA,20161203,TAVG,159.0,,,U,,,,,,,,,,,,,,
USC00200094,20161203,TMIN,0.0,,,7,800.0,,,,,,,,,,,,,
USC00204090,20161203,TMAX,17.0,,,7,800.0,,,,,,,,,,,,,
MXM00076471,20161203,TMAX,188.0,,,S,,,,,,,,,,,,,,
CA007041166,20161203,TMIN,-67.0,,,C,,,,,,,,,,,,,,
USC00481220,20161203,SNWD,660.0,,,7,730.0,,,,,,,,,,,,,
USC00012172,20161203,TMIN,128.0,,,7,800.0,,,,,,,,,,,,,
FIE00146498,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
USS0007M14S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
CA00702FQLF,20161203,WDFG,30.0,,,C,,,,,,,,,,,,,,
USW00014609,20161203,WDF2,360.0,,,W,,,,,,,,,,,,,,
US10dako002,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00216211,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
MGM00044285,20161203,TMIN,-161.0,,,S,,,,,,,,,,,,,,
MLM00061230,20161203,TAVG,308.0,H,,S,,,,,,,,,,,,,,
US1AZPN0027,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
ASN00061151,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
FIM00002801,20161203,TMIN,-261.0,,,S,,,,,,,,,,,,,,
USC00364815,20161203,TMIN,-11.0,,,7,700.0,,,,,,,,,,,,,
USW00094898,20161203,PGTM,114.0,,,W,,,,,,,,,,,,,,
USS0019L05S,20161203,WESD,457.0,,,T,,,,,,,,,,,,,,
USC00158537,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
US1NYNG0011,20161203,WESF,0.0,,,N,,,,,,,,,,,,,,
USW00093759,20161203,WDF2,360.0,,,W,,,,,,,,,,,,,,
US1ALLD0009,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
SZ000003700,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
USC00251240,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1CAHM0026,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00165266,20161203,PRCP,170.0,,,7,800.0,,,,,,,,,,,,,
LO000011934,20161203,TAVG,-31.0,H,,S,,,,,,,,,,,,,,
USC00390554,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USW00024021,20161203,WSF2,67.0,,,W,,,,,,,,,,,,,,
USR0000OMOO,20161203,TMIN,-11.0,H,,U,,,,,,,,,,,,,,
USC00411138,20161203,TMAX,178.0,,,7,800.0,,,,,,,,,,,,,
NLE00109056,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
US1KSPT0001,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USS0018D04S,20161203,SNWD,51.0,,,T,,,,,,,,,,,,,,
US1NMCB0004,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USS0017D18S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
USC00138806,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00254440,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
USC00235050,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1NCCN0009,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USW00023174,20161203,TAVG,141.0,H,,S,,,,,,,,,,,,,,
SZ000002220,20161203,TMAX,-5.0,,,E,,,,,,,,,,,,,,
US1NMRA0014,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
USS0010k05s,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
USC00316001,20161203,SNWD,0.0,,,7,800.0,,,,,,,,,,,,,
USW00023194,20161203,TMIN,-43.0,,,W,2400.0,,,,,,,,,,,,,
CA00702LED4,20161203,PRCP,17.0,,,C,,,,,,,,,,,,,,
US10adam022,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USW00023044,20161203,WDF5,10.0,,,W,,,,,,,,,,,,,,
USC00046602,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
CA005021220,20161203,WSFG,520.0,,,C,,,,,,,,,,,,,,
US1VAFR0014,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USW00094960,20161203,TMAX,6.0,,,W,2400.0,,,,,,,,,,,,,
USC00054742,20161203,PRCP,10.0,,,7,730.0,,,,,,,,,,,,,
PLM00012375,20161203,TAVG,10.0,H,,S,,,,,,,,,,,,,,
US1WYLM0106,20161203,WESF,0.0,T,,N,,,,,,,,,,,,,,
USC00344950,20161203,PRCP,20.0,,,7,730.0,,,,,,,,,,,,,
USC00114447,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
RSM00025503,20161203,TAVG,-342.0,H,,S,,,,,,,,,,,,,,
BOM00026645,20161203,PRCP,25.0,B,,S,,,,,,,,,,,,,,
USC00340990,20161203,SX32,117.0,,,7,2400.0,,,,,,,,,,,,,
USC00131635,20161203,TOBS,17.0,,,7,1800.0,,,,,,,,,,,,,
US1VAJC0016,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00414098,20161203,WT01,1.0,,,7,,,,,,,,,,,,,,
USW00093824,20161203,WDF2,320.0,,,W,,,,,,,,,,,,,,
RSM00025927,20161203,TMIN,-62.0,,,S,,,,,,,,,,,,,,
USS0005J27S,20161203,SNWD,356.0,,,T,,,,,,,,,,,,,,
USR0000NGAN,20161203,TMIN,28.0,H,,U,,,,,,,,,,,,,,
ASN00015559,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0006L03S,20161203,TOBS,-129.0,,,T,,,,,,,,,,,,,,
USW00093765,20161203,AWND,36.0,,,W,,,,,,,,,,,,,,
USS0009F04S,20161203,TAVG,-74.0,,,T,,,,,,,,,,,,,,
USC00137386,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
USC00316122,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
USC00301102,20161203,TMIN,11.0,,,7,700.0,,,,,,,,,,,,,
RSM00029576,20161203,TMIN,-217.0,,,S,,,,,,,,,,,,,,
ASN00076051,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1CASD0080,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
CA006092920,20161203,WDFG,0.0,,,C,,,,,,,,,,,,,,
USW00024235,20161203,WDF5,170.0,,,W,,,,,,,,,,,,,,
USC00200106,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
USC00402806,20161203,TMIN,-33.0,,,7,700.0,,,,,,,,,,,,,
USW00012904,20161203,PRCP,56.0,,,W,,,,,,,,,,,,,,
ASN00079105,20161203,TMAX,278.0,,,a,,,,,,,,,,,,,,
US1SDHY0003,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
