CA1NB000016,20161203,PRCP,5.0,,,N,,,,,,,,,,,,,,
ASN00056161,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00238603,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
ASN00055321,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
SPE00120485,20161203,TMIN,31.0,,,E,,,,,,,,,,,,,,
US1NCWK0013,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USW00022519,20161203,PRCP,0.0,T,,W,,,,,,,,,,,,,,
JA000047672,20161203,TMIN,68.0,,,S,,,,,,,,,,,,,,
USS0062S01S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
US1CASD0097,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USS0018H01S,20161203,TOBS,5.0,,,T,,,,,,,,,,,,,,
MXM00076571,20161203,TAVG,165.0,H,,S,,,,,,,,,,,,,,
USC00176856,20161203,TOBS,11.0,,,7,700.0,,,,,,,,,,,,,
RSM00034644,20161203,TAVG,-21.0,H,,S,,,,,,,,,,,,,,
USC00245791,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1KYHD0005,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
ASN00068244,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0006M26S,20161203,TAVG,-87.0,,,T,,,,,,,,,,,,,,
USW00093759,20161203,TMAX,122.0,,,W,,,,,,,,,,,,,,
US1KSPT0021,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00328792,20161203,TOBS,-67.0,,,7,800.0,,,,,,,,,,,,,
US1ARSH0017,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1FLPN0058,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
JA000047765,20161203,PRCP,0.0,,,S,,,,,,,,,,,,,,
CA005052890,20161203,TMIN,-26.0,,,C,,,,,,,,,,,,,,
USC00218039,20161203,TMIN,-22.0,,,7,800.0,,,,,,,,,,,,,
USC00142660,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1CODL0025,20161203,SNWD,38.0,,,N,,,,,,,,,,,,,,
USC00212576,20161203,TOBS,-67.0,,,7,600.0,,,,,,,,,,,,,
FIE00141855,20161203,TMAX,12.0,,,E,,,,,,,,,,,,,,
US1CAHM0052,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1ILLG0006,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1TXBRZ021,20161203,PRCP,978.0,,,N,,,,,,,,,,,,,,
US1ARBX0011,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
ECM00084050,20161203,PRCP,5.0,,,S,,,,,,,,,,,,,,
AGM00060536,20161203,TMIN,102.0,,,S,,,,,,,,,,,,,,
USW00014994,20161203,PRCP,0.0,,,H,,,,,,,,,,,,,,
USC00400137,20161203,TMIN,0.0,,,7,700.0,,,,,,,,,,,,,
USC00466600,20161203,TMIN,-22.0,,,7,700.0,,,,,,,,,,,,,
USR0000OZAL,20161203,TMAX,44.0,H,,U,,,,,,,,,,,,,,
USW00013987,20161203,WT01,1.0,,,W,,,,,,,,,,,,,,
SWE00138040,20161203,SNWD,0.0,,,E,,,,,,,,,,,,,,
USS0007F06S,20161203,TMAX,-56.0,,,T,,,,,,,,,,,,,,
US1SCAK0027,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USS0008K04S,20161203,WESD,813.0,,,T,,,,,,,,,,,,,,
US1COPK0039,20161203,WESF,8.0,,,N,,,,,,,,,,,,,,
CA00705LKPQ,20161203,WDFG,33.0,,,C,,,,,,,,,,,,,,
USC00126705,20161203,TOBS,-22.0,,,7,900.0,,,,,,,,,,,,,
US1IDSH0002,20161203,SNWD,102.0,,,N,,,,,,,,,,,,,,
USR0000OTRO,20161203,TMAX,56.0,H,,U,,,,,,,,,,,,,,
FR000007650,20161203,PRCP,0.0,,,S,,,,,,,,,,,,,,
PLM00012424,20161203,TMAX,25.0,,,S,,,,,,,,,,,,,,
USW00012912,20161203,SNOW,0.0,,,W,,,,,,,,,,,,,,
USS0006L13S,20161203,WESD,254.0,,,T,,,,,,,,,,,,,,
RSM00031026,20161203,TMAX,-185.0,,,S,,,,,,,,,,,,,,
USW00093989,20161203,TMIN,-16.0,,,W,2400.0,,,,,,,,,,,,,
US1OHPB0004,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USW00063869,20161203,TMAX,188.0,,,R,,,,,,,,,,,,,,
USC00311881,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
US1NMBR0142,20161203,SNWD,0.0,T,,N,,,,,,,,,,,,,,
USW00024048,20161203,PRCP,0.0,,,W,,,,,,,,,,,,,,
USC00390022,20161203,TMAX,17.0,,,7,2400.0,,,,,,,,,,,,,
ASN00032089,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
KZ000038001,20161203,TAVG,28.0,H,,S,,,,,,,,,,,,,,
USR0000IPIT,20161203,TAVG,72.0,,,U,,,,,,,,,,,,,,
USR0000IDEN,20161203,TMIN,11.0,H,,U,,,,,,,,,,,,,,
USC00052790,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
USW00093719,20161203,PRCP,0.0,,,W,2400.0,,,,,,,,,,,,,
USC00031328,20161203,SNWD,0.0,,,7,700.0,,,,,,,,,,,,,
ASN00039303,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
ROE00108901,20161203,TMAX,22.0,,,S,,,,,,,,,,,,,,
US1TXTN0115,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
USC00400705,20161203,TOBS,50.0,,,7,800.0,,,,,,,,,,,,,
USW00053974,20161203,TMIN,-27.0,,,R,,,,,,,,,,,,,,
US1NMED0018,20161203,SNWD,51.0,,,N,,,,,,,,,,,,,,
USC00112854,20161203,PRCP,0.0,,,7,730.0,,,,,,,,,,,,,
USS0012E08S,20161203,TAVG,-80.0,,,T,,,,,,,,,,,,,,
USC00456295,20161203,TOBS,50.0,,,7,800.0,,,,,,,,,,,,,
CA00701S001,20161203,TMIN,-38.0,,,C,,,,,,,,,,,,,,
USC00023961,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
CA006158875,20161203,TMIN,-11.0,,,C,,,,,,,,,,,,,,
NOE00112089,20161203,SNWD,360.0,,,E,,,,,,,,,,,,,,
USW00053008,20161203,TMIN,-28.0,,,H,,,,,,,,,,,,,,
USC00057560,20161203,TMAX,44.0,,,7,700.0,,,,,,,,,,,,,
USC00419501,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1FLHL0002,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00011566,20161203,TOBS,106.0,,,7,700.0,,,,,,,,,,,,,
USC00051660,20161203,PRCP,5.0,,,7,800.0,,,,,,,,,,,,,
CA002202202,20161203,SNWD,130.0,,,C,,,,,,,,,,,,,,
USC00480865,20161203,SNWD,152.0,,,7,800.0,,,,,,,,,,,,,
US1AZCN0020,20161203,SNOW,5.0,,,N,,,,,,,,,,,,,,
USC00408562,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
USC00232318,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
US1TXEL0027,20161203,PRCP,137.0,,,N,,,,,,,,,,,,,,
USC00311420,20161203,TOBS,11.0,,,7,700.0,,,,,,,,,,,,,
USR0000IDER,20161203,TMAX,11.0,H,,U,,,,,,,,,,,,,,
USC00196989,20161203,TMAX,39.0,,,7,800.0,,,,,,,,,,,,,
US1COGF0047,20161203,SNWD,13.0,,,N,,,,,,,,,,,,,,
USC00140190,20161203,SNWD,0.0,,,7,700.0,,,,,,,,,,,,,
ASN00054125,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
RSM00022721,20161203,PRCP,13.0,B,,S,,,,,,,,,,,,,,
USC00214546,20161203,SN33,17.0,,,7,800.0,,,,,,,,,,,,,
JA000047742,20161203,PRCP,0.0,B,,S,,,,,,,,,,,,,,
USC00230143,20161203,TMIN,-72.0,,,7,700.0,,,,,,,,,,,,,
USR0000HPUW,20161203,TMIN,161.0,H,,U,,,,,,,,,,,,,,
USC00208779,20161203,PRCP,0.0,,,7,730.0,,,,,,,,,,,,,
USW00024029,20161203,TAVG,-27.0,H,,S,,,,,,,,,,,,,,
USC00231383,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
ASN00076031,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
ASN00043052,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00183415,20161203,PRCP,0.0,T,,7,700.0,,,,,,,,,,,,,
USC00090140,20161203,TMAX,183.0,,,7,700.0,,,,,,,,,,,,,
USC00416952,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
RSM00022471,20161203,TMAX,-91.0,,,S,,,,,,,,,,,,,,
USS0009F24S,20161203,TAVG,-88.0,,,T,,,,,,,,,,,,,,
USS0011E37S,20161203,PRCP,25.0,,,T,,,,,,,,,,,,,,
USS0007M30S,20161203,SNWD,305.0,,,T,,,,,,,,,,,,,,
USC00048606,20161203,TOBS,6.0,,,7,800.0,,,,,,,,,,,,,
USW00014820,20161203,SNWD,0.0,,,W,2400.0,,,,,,,,,,,,,
USC00467730,20161203,TMIN,22.0,,,7,700.0,,,,,,,,,,,,,
US1INKS0007,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
USW00014922,20161203,SNOW,0.0,T,,W,,,,,,,,,,,,,,
USW00012832,20161203,TMAX,200.0,,,W,,,,,,,,,,,,,,
USC00214861,20161203,SNWD,0.0,T,,7,,,,,,,,,,,,,,
USC00485392,20161203,TMIN,-144.0,,,7,530.0,,,,,,,,,,,,,
USS0009G09S,20161203,TMAX,-57.0,,,T,,,,,,,,,,,,,,
USS0010J43S,20161203,TAVG,-98.0,,,T,,,,,,,,,,,,,,
ASN00040068,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1CASD0006,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
MJM00013461,20161203,TMIN,78.0,,,S,,,,,,,,,,,,,,
ASN00033189,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
US1ORLA0066,20161203,PRCP,5.0,,,N,,,,,,,,,,,,,,
USC00110251,20161203,PRCP,0.0,,,7,800.0,,,,,,,,,,,,,
US1CAMD0026,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
SPE00119864,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
USC00444777,20161203,TMIN,-50.0,,,7,700.0,,,,,,,,,,,,,
US1NJOC0012,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USS0015F01S,20161203,SNWD,203.0,,,T,,,,,,,,,,,,,,
US1NCBR0002,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
USR0000OEVA,20161203,TMAX,56.0,H,,U,,,,,,,,,,,,,,
US1NMDA0215,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
BOM00026832,20161203,SNWD,130.0,,,S,,,,,,,,,,,,,,
USW00023254,20161203,SNWD,0.0,,,W,,,,,,,,,,,,,,
USW00003996,20161203,WSF5,130.0,,,W,,,,,,,,,,,,,,
US1IDAD0002,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
RSM00030957,20161203,PRCP,0.0,B,,S,,,,,,,,,,,,,,
US1TXCLB003,20161203,PRCP,84.0,,,N,,,,,,,,,,,,,,
AGM00060515,20161203,TAVG,116.0,H,,S,,,,,,,,,,,,,,
CA001160899,20161203,TMIN,-35.0,,,C,,,,,,,,,,,,,,
KZ000028766,20161203,SNWD,119.0,,,S,,,,,,,,,,,,,,
USW00023232,20161203,WT01,1.0,,,W,,,,,,,,,,,,,,
USC00436391,20161203,SNOW,0.0,T,,7,,,,,,,,,,,,,,
FIE00144542,20161203,TMIN,-112.0,,,E,,,,,,,,,,,,,,
USR0000MMED,20161203,TMAX,17.0,H,,U,,,,,,,,,,,,,,
US1GATH0004,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
CA00705S002,20161203,TMIN,-23.0,,,C,,,,,,,,,,,,,,
US1MNRM0046,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
CA006032125,20161203,TMIN,-72.0,,,C,,,,,,,,,,,,,,
US1FLCY0005,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00180700,20161203,TOBS,56.0,,,7,800.0,,,,,,,,,,,,,
USW00013873,20161203,WDF5,70.0,,,W,,,,,,,,,,,,,,
US1MOFR0015,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00130088,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1LAEB0046,20161203,PRCP,76.0,,,N,,,,,,,,,,,,,,
USS0007M35S,20161203,TOBS,-51.0,,,T,,,,,,,,,,,,,,
US1SDGY0003,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1ALMB0001,20161203,PRCP,13.0,,,N,,,,,,,,,,,,,,
US1MDFR0021,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00401808,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
US1MOCD0004,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
ASN00077005,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
RSM00031474,20161203,TAVG,-143.0,H,,S,,,,,,,,,,,,,,
USC00026601,20161203,TOBS,-78.0,,,7,800.0,,,,,,,,,,,,,
USC00324083,20161203,TOBS,-61.0,,,7,700.0,,,,,,,,,,,,,
USW00093967,20161203,WDF2,180.0,,,W,,,,,,,,,,,,,,
US1MIMQ0002,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
USW00024011,20161203,WSF5,103.0,,,W,,,,,,,,,,,,,,
KZ000035229,20161203,TMIN,-81.0,,,S,,,,,,,,,,,,,,
USS0022D03S,20161203,PRCP,152.0,,,T,,,,,,,,,,,,,,
IN025010100,20161203,TAVG,269.0,H,,S,,,,,,,,,,,,,,
USC00029158,20161203,TMAX,111.0,,,7,1700.0,,,,,,,,,,,,,
US1CAMR0005,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
VE000005484,20161203,TMIN,246.0,,,S,,,,,,,,,,,,,,
US1NYLW0005,20161203,PRCP,28.0,,,N,,,,,,,,,,,,,,
US1COLR0849,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
USW00093112,20161203,PGTM,1503.0,,,W,,,,,,,,,,,,,,
USC00476678,20161203,TMIN,-11.0,,,7,730.0,,,,,,,,,,,,,
USS0011H01S,20161203,PRCP,51.0,,,T,,,,,,,,,,,,,,
USW00024242,20161203,AWND,23.0,,,W,,,,,,,,,,,,,,
USW00014829,20161203,WDF5,270.0,,,W,,,,,,,,,,,,,,
ASN00018166,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00148250,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
USW00004846,20161203,PGTM,633.0,,,W,,,,,,,,,,,,,,
USC00402489,20161203,TOBS,33.0,,,7,2000.0,,,,,,,,,,,,,
SPE00119945,20161203,TAVG,162.0,H,,S,,,,,,,,,,,,,,
USC00091965,20161203,SNWD,0.0,,,7,630.0,,,,,,,,,,,,,
RSM00030710,20161203,PRCP,8.0,B,,S,,,,,,,,,,,,,,
USW00003957,20161203,SNWD,0.0,,,W,800.0,,,,,,,,,,,,,
USC00135131,20161203,TMIN,-11.0,,,7,700.0,,,,,,,,,,,,,
USC00053530,20161203,TOBS,-106.0,,,7,730.0,,,,,,,,,,,,,
ASN00043037,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
ASN00048079,20161203,TMAX,434.0,,,a,,,,,,,,,,,,,,
USC00245334,20161203,PRCP,0.0,T,,7,1500.0,,,,,,,,,,,,,
USS0007H04S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
USC00248390,20161203,TMIN,17.0,,,7,1400.0,,,,,,,,,,,,,
IN001111600,20161203,TMIN,228.0,,,S,,,,,,,,,,,,,,
USC00054742,20161203,SNOW,25.0,,,7,,,,,,,,,,,,,,
NO000099710,20161203,SNWD,0.0,,,E,,,,,,,,,,,,,,
ASN00050031,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0014G02S,20161203,SNWD,229.0,,,T,,,,,,,,,,,,,,
USC00458773,20161203,PRCP,25.0,,,7,800.0,,,,,,,,,,,,,
USC00207312,20161203,TOBS,17.0,,,7,800.0,,,,,,,,,,,,,
US1TXTN0055,20161203,PRCP,66.0,,,N,,,,,,,,,,,,,,
NLE00109088,20161203,PRCP,0.0,,,E,,,,,,,,,,,,,,
US1CARV0020,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1MOBN0039,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00359316,20161203,SNWD,0.0,T,,7,800.0,,,,,,,,,,,,,
USC00338769,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1CASA0005,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1NYSY0012,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
USC00058995,20161203,PRCP,0.0,T,,7,700.0,,,,,,,,,,,,,
USS0022F05S,20161203,WESD,0.0,,,T,,,,,,,,,,,,,,
USC00356243,20161203,TMAX,28.0,,,H,,,,,,,,,,,,,,
USC00114447,20161203,TOBS,-11.0,,,7,700.0,,,,,,,,,,,,,
USC00517166,20161203,TOBS,161.0,,,7,700.0,,,,,,,,,,,,,
FIE00141805,20161203,TMAX,12.0,,,E,,,,,,,,,,,,,,
