station,year,latitude,longitude,elevation,name,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
USC00101079,2022,48.6928,-116.3103,609.9,BONNERS FERRY,,7.6,3.25,8.466666666666667,,29.5,-5.0625,
USC00101079,2023,48.6928,-116.3103,609.9,BONNERS FERRY,,17.77777777777778,4.222222222222222,9.14,,6.866666666666667,-43.888888888888886,
USC00101079,2024,48.6928,-116.3103,609.9,BONNERS FERRY,,15.4375,0.0,37.266666666666666,,14.138461538461538,41.46666666666667,
USC00101363,2022,48.0864,-116.0572,662.3,CABINET GORGE,,16.5,0.0,38.1,,50.0,-5.133333333333334,
USC00101363,2023,48.0864,-116.0572,662.3,CABINET GORGE,,0.0,1.3333333333333333,7.6,,22.142857142857142,-46.6,
USC00101363,2024,48.0864,-116.0572,662.3,CABINET GORGE,,18.285714285714285,1.4705882352941178,0.0,,12.776923076923078,31.5,
USC00101636,2023,43.8997,-115.9047,1288.1,CENTERVILLE COOPER DR,,,,,,45.666666666666664,-10.2,
USC00101636,2024,43.8997,-115.9047,1288.1,CENTERVILLE COOPER DR,,16.066666666666666,20.176470588235293,8.59047619047619,,15.180000000000001,-30.727272727272727,
USC00101671,2022,43.9778,-113.8292,1908.0,CHILLY BARTON FLAT,,0.42857142857142855,0.0,10.66,,20.5,-12.381818181818181,
USC00101671,2023,43.9778,-113.8292,1908.0,CHILLY BARTON FLAT,,8.0,4.333333333333333,31.03333333333333,,-11.0,-13.788888888888888,
USC00101671,2024,43.9778,-113.8292,1908.0,CHILLY BARTON FLAT,,2.8181818181818183,0.7222222222222222,30.19047619047619,,17.124000000000002,7.722222222222222,
USC00101679,2024,42.0914,-113.6325,1636.5,CITY OF ROCKS,,0.38461538461538464,11.333333333333334,45.0,,15.552631578947366,-17.357142857142858,
USC00101956,2022,47.6822,-116.7967,650.1,COEUR D'ALENE,,12.285714285714286,0.0,38.0,,10.285714285714286,-49.0,
USC00101956,2023,47.6822,-116.7967,650.1,COEUR D'ALENE,,6.909090909090909,0.0,8.333333333333334,,25.666666666666668,-22.4,
USC00101956,2024,47.6822,-116.7967,650.1,COEUR D'ALENE,,14.307692307692308,0.0,0.0,,14.38,5.214285714285714,
USC00102159,2022,46.0336,-116.3919,1202.4,COTTONWOOD 2 WSW,,8.8,4.333333333333333,5.291666666666666,,10.825,12.0,
USC00102159,2023,46.0336,-116.3919,1202.4,COTTONWOOD 2 WSW,,19.8,0.0,32.57142857142857,,7.842857142857143,-38.0,
USC00102159,2024,46.0336,-116.3919,1202.4,COTTONWOOD 2 WSW,,12.5,1.3157894736842106,39.4,,17.969565217391303,5.05,
USC00102187,2022,44.7442,-116.4325,897.0,COUNCIL,,,,,,1.5,-7.057142857142857,
USC00102187,2023,44.7442,-116.4325,897.0,COUNCIL,,,,,,5.566666666666666,-36.0,
USC00102187,2024,44.7442,-116.4325,897.0,COUNCIL,,,,,,21.59375,13.153846153846153,
USC00102260,2022,43.4625,-113.5603,1802.6,CRATERS OF THE MOON,,0.0,25.5,52.725,,-40.666666666666664,-11.466666666666667,
USC00102260,2023,43.4625,-113.5603,1802.6,CRATERS OF THE MOON,,21.333333333333332,4.333333333333333,119.4,,-36.333333333333336,-13.5,
USC00102260,2024,43.4625,-113.5603,1802.6,CRATERS OF THE MOON,,0.0,5.818181818181818,9.00909090909091,,8.688235294117646,7.383333333333333,
USC00102392,2022,44.4622,-115.5817,1813.0,DEADWOOD LODGE,,0.0,0.0,155.44,,20.5,-11.95,
